[4, 4]
[7, 1]
[8, 2]
[11, 1]
[12, 6]
[13, 3]
[16, 1]
[16, 2]
[16, 8]
[18, 3]
[19, 1]
[20, 1]
[22, 0]
[22, 1]
[22, 5]
[22, 6]
[22, 7]
[23, 2]
[24, 0]
[24, 1]
[24, 2]
[24, 3]
[24, 4]
[25, 1]
[25, 2]
[25, 3]
[26, 0]
[26, 2]
[26, 3]
[26, 7]
[27, 0]
[27, 1]
[28, 0]
[28, 3]
[29, 2]
[32, 0]
[33, 1]
[38, 0]
[39, 0]
[40, 1]
[40, 2]
[40, 3]
[41, 3]
[41, 5]
[42, 0]
[43, 0]
[43, 1]
[44, 0]
[44, 4]
[46, 0]
[46, 3]
[47, 2]
[51, 2]
[51, 3]
[51, 4]
[52, 0]
[55, 2]
[61, 0]
[62, 0]
[64, 3]
[65, 0]
[66, 1]
[67, 2]
[68, 1]
[72, 3]
[76, 0]
[79, 1]
[82, 0]
[86, 1]
[86, 2]
[92, 4]
[93, 2]
[94, 0]
[94, 4]
[95, 1]
[97, 1]
[99, 3]
[99, 4]
[101, 1]
[101, 3]
[102, 3]
[105, 4]
[106, 2]
[107, 0]
[108, 2]
[109, 0]
[109, 2]
[110, 0]
[110, 2]
[110, 3]
[110, 4]
[111, 0]
[111, 1]
[111, 2]
[112, 2]
[114, 1]
[114, 2]
[116, 2]
[120, 1]
[123, 6]
[124, 0]
[125, 2]
[128, 0]
[128, 3]
[128, 7]
[130, 0]
[130, 3]
[130, 6]
[130, 10]
[132, 5]
[133, 1]
[134, 1]
[134, 3]
[134, 4]
[135, 0]
[136, 1]
[137, 2]
[137, 3]
[142, 5]
[143, 0]
[146, 1]
[148, 0]
[148, 2]
[150, 2]
[150, 7]
[151, 1]
[151, 3]
[151, 5]
[152, 0]
[153, 0]
[155, 0]
[156, 0]
[156, 1]
[159, 0]
[159, 1]
[159, 4]
[159, 6]
[161, 4]
[162, 0]
[163, 0]
[163, 2]
[164, 0]
[165, 3]
[168, 0]
[169, 0]
[170, 0]
[172, 5]
[173, 0]
[173, 5]
[173, 8]
[176, 7]
[179, 3]
[186, 5]
[187, 4]
[187, 6]
[187, 7]
[188, 7]
[191, 0]
[201, 0]
[202, 3]
[202, 4]
[204, 1]
[205, 0]
[207, 2]
[209, 0]
[209, 1]
[209, 3]
[209, 4]
[209, 6]
[210, 0]
[210, 1]
[210, 2]
[211, 0]
[211, 2]
[212, 0]
[212, 1]
[213, 0]
[213, 3]
[214, 2]
[215, 2]
[215, 5]
[219, 1]
[219, 2]
[220, 2]
[222, 1]
[222, 3]
[222, 6]
[222, 7]
[228, 0]
[230, 3]
[230, 4]
[233, 6]
[237, 1]
[237, 3]
[239, 5]
[241, 3]
[243, 6]
[245, 3]
[248, 0]
[253, 5]
[253, 6]
[254, 5]
[254, 6]
[255, 6]
[255, 8]
[264, 5]
[264, 8]
[264, 9]
[266, 3]
[267, 0]
[268, 0]
[268, 2]
[272, 0]
[273, 5]
[274, 0]
[281, 1]
[281, 2]
[281, 3]
[281, 5]
[282, 3]
[282, 5]
[286, 1]
[288, 0]
[288, 1]
[290, 0]
[291, 0]
[293, 3]
[294, 3]
[295, 2]
[295, 3]
[298, 1]
[299, 0]
[299, 1]
[299, 6]
[302, 3]
[305, 4]
[307, 1]
[307, 2]
[307, 3]
[307, 4]
[315, 5]
[320, 1]
[327, 7]
[329, 0]
[329, 4]
[330, 0]
[330, 1]
[332, 1]
[334, 2]
[336, 0]
[338, 0]
[340, 1]
[341, 1]
[341, 2]
[346, 0]
[346, 1]
[348, 0]
[349, 4]
[349, 7]
[353, 1]
[353, 6]
[353, 7]
[354, 0]
[355, 2]
[359, 2]
[363, 0]
[366, 4]
[367, 1]
[367, 3]
[368, 1]
[371, 0]
[372, 3]
[373, 2]
[373, 3]
[373, 4]
[373, 5]
[374, 0]
[374, 4]
[374, 7]
[375, 5]
[378, 7]
[381, 3]
[381, 4]
[381, 5]
[381, 6]
[381, 7]
[382, 0]
[385, 0]
[385, 1]
[385, 3]
[387, 0]
[387, 2]
[389, 3]
[389, 5]
[390, 0]
[390, 1]
[398, 0]
[398, 1]
[399, 6]
[402, 0]
[406, 2]
[407, 3]
[407, 8]
[410, 2]
[411, 0]
[411, 4]
[411, 5]
[413, 6]
[414, 1]
[415, 0]
[415, 2]
[416, 1]
[419, 3]
[419, 10]
[420, 1]
[421, 6]
[423, 3]
[431, 2]
[437, 3]
[438, 0]
[438, 5]
[445, 1]
[446, 0]
[446, 1]
[449, 1]
[449, 2]
[450, 0]
[450, 3]
[451, 3]
[452, 3]
[454, 1]
[454, 3]
[459, 3]
[467, 3]
[468, 0]
[468, 2]
[469, 0]
[469, 4]
[469, 6]
[469, 8]
[470, 0]
[470, 2]
[470, 3]
[471, 0]
[471, 3]
[472, 4]
[472, 8]
[476, 7]
[480, 3]
[480, 4]
[482, 2]
[482, 7]
[485, 2]
[485, 4]
[485, 5]
[485, 6]
[487, 3]
[487, 4]
[487, 7]
[490, 6]
[492, 4]
[493, 1]
[493, 4]
[495, 3]
[500, 4]
[500, 5]
