[7, 2]
[12, 0]
[51, 1]
[60, 3]
[61, 1]
[64, 3]
[65, 5]
[69, 4]
[77, 1]
[94, 5]
[101, 2]
[104, 6]
[105, 3]
[120, 1]
[159, 5]
[168, 0]
[168, 4]
[185, 0]
[206, 4]
[206, 5]
[207, 3]
[219, 4]
[222, 11]
[227, 0]
[229, 0]
[234, 1]
[296, 1]
[296, 3]
[300, 2]
[305, 0]
[308, 2]
[329, 4]
[352, 2]
[360, 3]
[365, 1]
[371, 5]
[374, 4]
[377, 0]
[383, 3]
[389, 3]
[402, 6]
[406, 0]
[406, 1]
[406, 2]
[409, 0]
[413, 0]
[414, 0]
[420, 1]
[420, 5]
[421, 1]
[421, 4]
[423, 2]
[438, 2]
[440, 3]
[455, 2]
[457, 0]
[458, 4]
[468, 4]
[476, 3]
[477, 0]
[478, 0]
[478, 3]
[478, 5]
[480, 2]
[481, 4]
[482, 2]
[483, 0]
[483, 2]
[488, 3]
[491, 0]
[494, 1]
[494, 3]
[495, 7]
[498, 3]
[501, 1]
[503, 0]
[524, 1]
[530, 3]
[540, 1]
[541, 0]
[542, 4]
[544, 6]
[549, 0]
[564, 1]
[569, 1]
[570, 0]
[574, 0]
[577, 1]
[580, 1]
[612, 2]
[614, 3]
[626, 4]
[627, 0]
[641, 3]
[649, 0]
[649, 1]
[671, 1]
[672, 1]
[673, 0]
[673, 1]
[687, 1]
[693, 0]
[693, 1]
[703, 0]
[708, 5]
[719, 1]
[726, 1]
[739, 0]
[743, 0]
[746, 3]
[748, 1]
[755, 5]
[757, 2]
[757, 3]
[762, 0]
[785, 3]
[795, 4]
[802, 4]
[808, 3]
[809, 1]
[809, 2]
[809, 5]
[834, 0]
[847, 0]
[848, 10]
[853, 5]
[858, 1]
[873, 6]
[881, 0]
[895, 1]
[899, 2]
[905, 0]
[908, 0]
[916, 3]
[928, 5]
[932, 3]
[934, 3]
[938, 0]
[939, 1]
[949, 2]
[954, 5]
[956, 0]
[984, 2]
[986, 2]
[990, 6]
[1000, 3]
